prolificid,subject_id,age,gender,label,trialnum,status,outcome,getsout,bloc,img1,img2,buttonchoice,rtchoice,rt,response,key_press,time_elapsed,internal_node_id,trial_type,trial_index,stimulus,responses,date,time,datefinish,timefinish,
57754d57ca706f000190eaf1,8231485,35,M,scaleresp,6,1,2,1,1,3,11,1,1441,1482.5,12,,240309,0.0-52.0,html-slider-response,52,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5e5185f14aa7081a81ea3faf,6447883,26,F,scaleresp,20,1,2,2,1,9,10,,,,,,145037,0.0-12.0,html-slider-response,12,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
58da74c7f94de20001fbd4af,1598476,28,M,scaleresp,9,2,2,1,1,8,20,,,,,,228125,0.0-42.0,html-slider-response,42,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5ca59f9f30710b001605b491,8120291,20,m,scaleresp,9,2,2,1,1,12,17,0,937,1790.83,0,,148818,0.0-37.0,html-slider-response,37,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5be57da1f6b5dd0001170bbe,4467383,36,F,scaleresp,11,2,1,2,1,11,15,1,775,1465.335,59,,244009,0.0-92.0,html-slider-response,92,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
57754d57ca706f000190eaf1,8231485,35,M,scaleresp,20,1,2,2,1,14,16,0,919,1524,13,,251710,0.0-57.0,html-slider-response,57,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5be42fd8d8f5470001f0d1cd,4568129,22,F,scaleresp,19,2,1,1,1,13,19,0,1477,4467,48,,168071,0.0-12.0,html-slider-response,12,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5e5185f14aa7081a81ea3faf,6447883,26,F,scaleresp,14,1,1,2,1,2,3,1,1813,5729.52,31,,161573,0.0-17.0,html-slider-response,17,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5ca59f9f30710b001605b491,8120291,20,m,scaleresp,1,2,2,2,1,16,18,0,655,1876.97,0,,160120,0.0-42.0,html-slider-response,42,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
58da74c7f94de20001fbd4af,1598476,28,M,scaleresp,1,2,2,2,1,7,15,0,737,3069.6,55,,240731,0.0-47.0,html-slider-response,47,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
5be57da1f6b5dd0001170bbe,4467383,36,F,scaleresp,5,2,2,2,1,15,19,0,905,2785.105,40,,256489,0.0-97.0,html-slider-response,97,"<p style=font-size:16px; text-align:center;"">  How responsible do you feel concerning <br> the outcome ? </p>""",,08/05/2020,1.58892E+12,08/05/2020,1.58892E+12,
