prolificid,subject_id,age,gender,label,trialnum,status,outcome,getsout,bloc,img1,img2,buttonchoice,rtchoice,rt,response,key_press,time_elapsed,internal_node_id,trial_type,trial_index,stimulus,responses,playerout,playeroutnumber,rated,date,time,datefinish,timefinish,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,27,1,1,2,2,2,14,1,600,9340.9,65,,364718,0.0-123.0,html-slider-response,123,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,3,Player 34,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,33,1,1,1,2,1,11,1,1407,1125.2,91,,375879,0.0-128.0,html-slider-response,128,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 82 for the outcome ? </p>""",,4,Player 82,Player 82,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,4,2,1,2,1,8,12,0,1539,3445,59,,167835,0.0-27.0,html-slider-response,27,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 06 for the outcome ? </p>""",,0,Player 42,Player 06,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,14,2,2,1,2,2,3,0,635,1097.8,6,,386203,0.0-133.0,html-slider-response,133,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 50 for the outcome ? </p>""",,1,Player 50,Player 50,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,7,1,2,2,1,6,7,1,1367,3011,53,,181311,0.0-32.0,html-slider-response,32,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 18 for the outcome ? </p>""",,0,Player 42,Player 18,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,25,1,1,1,2,9,14,0,888,1018.3,97,,396951,0.0-138.0,html-slider-response,138,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 34 for the outcome ? </p>""",,3,Player 34,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,33,1,1,1,1,12,18,0,1636,2985,68,,195028,0.0-37.0,html-slider-response,37,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 37 for the outcome ? </p>""",,4,Player 37,Player 37,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,7,1,2,2,2,1,20,1,1345,1412.1,70,,408766,0.0-143.0,html-slider-response,143,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 34 for the outcome ? </p>""",,0,Player 16,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,15,1,2,2,1,5,11,0,1440,3198,45,,208648,0.0-42.0,html-slider-response,42,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 37 for the outcome ? </p>""",,1,Player 18,Player 37,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,13,1,2,1,2,16,17,1,806,2566.7,39,,420892,0.0-148.0,html-slider-response,148,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 50 for the outcome ? </p>""",,1,Player 50,Player 50,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4a0c84029c3000010a8718,7488572,,,surveyid,,,,,,,,,,17121,,,83673,0.0-3.0,survey-text,3,,"{Q0"":""5d4a0c84029c3000010a8718""}""",,,,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,11,1,1,2,2,1,17,0,752,1181.4,74,,431571,0.0-153.0,html-slider-response,153,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 34 for the outcome ? </p>""",,1,Player 50,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,11,1,1,2,1,8,13,1,1567,3211,59,,222222,0.0-47.0,html-slider-response,47,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 37 for the outcome ? </p>""",,1,Player 18,Player 37,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4a0c84029c3000010a8718,7488572,20,M,survey,,,,,,,,,,16311,,,99987,0.0-4.0,survey-text,4,,"{Q0"":""20""","Q1:""M""}""",,,,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,31,1,2,2,1,15,18,,,,,,233237,0.0-52.0,html-slider-response,52,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 37 for the outcome ? </p>""",,3,Player 06,Player 37,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,5,1,2,1,2,3,9,0,1231,1431.7,68,,443161,0.0-158.0,html-slider-response,158,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,0,Player 16,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,30,2,2,1,2,11,12,1,1338,1776.8,65,,455040,0.0-163.0,html-slider-response,163,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 34 for the outcome ? </p>""",,3,Player 34,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,9,1,1,1,1,5,9,0,1701,2567,65,,246487,0.0-57.0,html-slider-response,57,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 18 for the outcome ? </p>""",,1,Player 18,Player 18,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,32,2,2,2,2,14,15,0,806,1138.4,80,,465834,0.0-168.0,html-slider-response,168,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 50 for the outcome ? </p>""",,3,Player 34,Player 50,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,27,1,1,2,1,14,20,1,1502,2981,57,,259911,0.0-62.0,html-slider-response,62,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 42 for the outcome ? </p>""",,3,Player 06,Player 42,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,20,2,1,2,2,9,13,0,1279,1855.4,69,,477737,0.0-173.0,html-slider-response,173,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,16,2,2,2,1,1,7,1,1563,3082,57,,273431,0.0-67.0,html-slider-response,67,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 06 for the outcome ? </p>""",,1,Player 18,Player 06,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,16,2,2,2,2,6,18,1,730,2034.4,82,,489436,0.0-178.0,html-slider-response,178,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,1,Player 50,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
