"id","repetition","beta8","n","p"
1783,60,0.15,50,2.14517313454369e-05
1784,60,0.25,50,6.84215638217708e-05
1785,60,0.5,50,1.20963769789131e-08
1786,60,0,150,0.312147806769059
1787,60,0.05,150,0.186244405082561
1788,60,0.15,150,2.88111618554716e-06
1789,60,0.25,150,8.48354268977796e-14
1790,60,0.5,150,5.01103796069437e-17
1791,60,0,500,0.311812626093218
1792,60,0.05,500,0.111356721749449
1793,60,0.15,500,1.9322316301909e-07
1794,60,0.25,500,1.67202093463528e-12
1795,60,0.5,500,2.13631237635024e-18
1796,60,0,5000,0.311812626093218
1797,60,0.05,5000,0.111356721749449
1798,60,0.15,5000,1.9322316301909e-07
1799,60,0.25,5000,1.67202093463528e-12
1800,60,0.5,5000,2.13631237635024e-18
1801,61,0,5,1
1802,61,0.05,5,0.0132879675426034
1803,61,0.15,5,0.00200971270212084
1804,61,0.25,5,0.000885259224575047
1805,61,0.5,5,0.00278329890526169
1806,61,0,25,1
1807,61,0.05,25,0.000649426057194257
1808,61,0.15,25,0.191497581303064
1809,61,0.25,25,0.0249337217051676
1810,61,0.5,25,3.64098447355322e-05
1811,61,0,50,0.315473105578499
1812,61,0.05,50,0.165959699935058
1813,61,0.15,50,0.00083588528295202
1814,61,0.25,50,8.8453635340265e-05
1815,61,0.5,50,1.06250097109446e-11
1816,61,0,150,0.312210054674083
1817,61,0.05,150,0.278447644126468
1818,61,0.15,150,1.04371213790724e-05
1819,61,0.25,150,2.17526972879251e-11
1820,61,0.5,150,8.50276878051472e-19
1821,61,0,500,0.311812626093218
1822,61,0.05,500,0.111356721749449
1823,61,0.15,500,1.9322316301909e-07
1824,61,0.25,500,1.67202093463528e-12
1825,61,0.5,500,5.95126200755849e-18
1826,61,0,5000,0.311812626093218
1827,61,0.05,5000,0.111356721749449
1828,61,0.15,5000,1.9322316301909e-07
1829,61,0.25,5000,1.67202093463528e-12
1830,61,0.5,5000,2.13631237635024e-18
1831,62,0,5,0.999999964658793
1832,62,0.05,5,0.0422022559347727
1833,62,0.15,5,0.0245785521569779
1834,62,0.25,5,0.696391182647511
1835,62,0.5,5,0.00987048214316758
1836,62,0,25,1
1837,62,0.05,25,0.000348463588674686
1838,62,0.15,25,3.65666098949227e-08
1839,62,0.25,25,2.43352125956558e-09
1840,62,0.5,25,6.03557350726089e-12
1841,62,0,50,0.630196369853769
1842,62,0.05,50,0.227381262971831
1843,62,0.15,50,0.000398097875954096
1844,62,0.25,50,8.87791098256313e-07
1845,62,0.5,50,1.28526823363664e-07
1846,62,0,150,0.657447927730955
1847,62,0.05,150,0.202970751883821
1848,62,0.15,150,7.35879888072896e-06
1849,62,0.25,150,7.90987429001417e-14
1850,62,0.5,150,9.71483422246753e-16
1851,62,0,500,0.311812626093218
1852,62,0.05,500,0.119866998370899
1853,62,0.15,500,1.9322316301909e-07
1854,62,0.25,500,1.67202093463528e-12
1855,62,0.5,500,2.13631237635024e-18
1856,62,0,5000,0.311812626093218
1857,62,0.05,5000,0.111356721749449
1858,62,0.15,5000,1.9322316301909e-07
1859,62,0.25,5000,1.67202093463528e-12
1860,62,0.5,5000,2.13631237635024e-18
1861,63,0,5,1
1862,63,0.05,5,0.00323079059138776
1863,63,0.15,5,0.0022116571139679
1864,63,0.25,5,0.00174705360929476
1865,63,0.5,5,0.000999812384587908
1866,63,0,25,0.162672916075916
1867,63,0.05,25,0.822531661378391
1868,63,0.15,25,0.341215134202137
1869,63,0.25,25,1.3014328321101e-09
1870,63,0.5,25,7.69242718970738e-05
1871,63,0,50,0.999999441038374
1872,63,0.05,50,0.212288589820404
1873,63,0.15,50,0.000697494671464955
1874,63,0.25,50,1.98729573310777e-07
1875,63,0.5,50,2.66982850381978e-10
1876,63,0,150,0.312480792406361
1877,63,0.05,150,0.190236917897267
1878,63,0.15,150,2.67056543222273e-06
1879,63,0.25,150,1.6330732481406e-10
1880,63,0.5,150,4.7293451559432e-14
1881,63,0,500,0.311812626093218
1882,63,0.05,500,0.111356721749449
1883,63,0.15,500,1.9322316301909e-07
1884,63,0.25,500,1.67202093463528e-12
1885,63,0.5,500,2.13631237635024e-18
1886,63,0,5000,0.311812626093218
1887,63,0.05,5000,0.111356721749449
1888,63,0.15,5000,1.9322316301909e-07
1889,63,0.25,5000,1.67202093463528e-12
1890,63,0.5,5000,2.13631237635024e-18
1891,64,0,5,0.999999954135194
1892,64,0.05,5,0.000619345239276521
1893,64,0.15,5,0.000199594056923544
1894,64,0.25,5,0.846457969966213
1895,64,0.5,5,0.49432816170131
1896,64,0,25,0.329876800921132
1897,64,0.05,25,0.781134527651501
1898,64,0.15,25,6.70169120169978e-10
1899,64,0.25,25,1.68162414319836e-08
1900,64,0.5,25,7.39818557138976e-05
1901,64,0,50,0.315473105578574
